
> radioos@0.1.0 dev
> next dev

▲ Next.js 16.3.1 (Turbopack)
- Local:         http://localhost:51397
- Network:       http://10.141.159.200:51397
- Environments: .env.local
✓ Ready in 1601ms
✓ Running next.config.ts took 161ms
 GET /login 200 in 957ms (next.js: 74ms, proxy.ts: 78ms, application-code: 805ms)
 GET /login?verified=true 200 in 872ms (next.js: 115ms, proxy.ts: 18ms, application-code: 739ms)
 GET /login 200 in 856ms (next.js: 39ms, proxy.ts: 14ms, application-code: 804ms)
 GET /login?verified=true 200 in 853ms (next.js: 111ms, proxy.ts: 14ms, application-code: 729ms)
 GET /login 200 in 877ms (next.js: 42ms, proxy.ts: 17ms, application-code: 818ms)
 GET /login?verified=true 200 in 869ms (next.js: 100ms, proxy.ts: 17ms, application-code: 752ms)
 GET /login 200 in 871ms (next.js: 70ms, proxy.ts: 21ms, application-code: 779ms)
 GET /login?verified=true 200 in 858ms (next.js: 98ms, proxy.ts: 47ms, application-code: 713ms)
 GET /login 200 in 885ms (next.js: 43ms, proxy.ts: 14ms, application-code: 828ms)
 GET /login?verified=true 200 in 884ms (next.js: 103ms, proxy.ts: 16ms, application-code: 765ms)
 GET /login 200 in 933ms (next.js: 41ms, proxy.ts: 15ms, application-code: 876ms)
 GET /login?verified=true 200 in 928ms (next.js: 129ms, proxy.ts: 15ms, application-code: 785ms)
 GET /login 200 in 1034ms (next.js: 37ms, proxy.ts: 14ms, application-code: 983ms)
 GET /login?verified=true 200 in 1033ms (next.js: 98ms, proxy.ts: 13ms, application-code: 921ms)
 GET /login 200 in 1118ms (next.js: 38ms, proxy.ts: 15ms, application-code: 1065ms)
 GET /login?verified=true 200 in 1137ms (next.js: 113ms, proxy.ts: 13ms, application-code: 1010ms)
 GET /login 200 in 933ms (next.js: 51ms, proxy.ts: 23ms, application-code: 859ms)
 GET /login?verified=true 200 in 910ms (next.js: 129ms, proxy.ts: 22ms, application-code: 759ms)
 GET /login 200 in 683ms (next.js: 42ms, proxy.ts: 15ms, application-code: 626ms)
 GET /login?verified=true 200 in 667ms (next.js: 123ms, proxy.ts: 14ms, application-code: 530ms)
 GET /login 200 in 391ms (next.js: 56ms, proxy.ts: 34ms, application-code: 301ms)
 GET /login?verified=true 200 in 354ms (next.js: 114ms, proxy.ts: 27ms, application-code: 213ms)
 GET /login 200 in 1223ms (next.js: 152ms, proxy.ts: 20ms, application-code: 1051ms)
 GET /login?verified=true 200 in 1164ms (next.js: 247ms, proxy.ts: 41ms, application-code: 876ms)
 GET /login 200 in 1025ms (next.js: 36ms, proxy.ts: 20ms, application-code: 970ms)
 GET /login?verified=true 200 in 1035ms (next.js: 131ms, proxy.ts: 21ms, application-code: 882ms)
 GET /login 200 in 1054ms (next.js: 47ms, proxy.ts: 22ms, application-code: 985ms)
 GET /login?verified=true 200 in 1048ms (next.js: 133ms, proxy.ts: 17ms, application-code: 898ms)
 GET /login 200 in 1067ms (next.js: 45ms, proxy.ts: 16ms, application-code: 1006ms)
 GET /login?verified=true 200 in 1063ms (next.js: 131ms, proxy.ts: 17ms, application-code: 915ms)
 GET /login 200 in 1098ms (next.js: 44ms, proxy.ts: 16ms, application-code: 1038ms)
 GET /login?verified=true 200 in 1095ms (next.js: 123ms, proxy.ts: 19ms, application-code: 953ms)
 GET /login 200 in 1128ms (next.js: 42ms, proxy.ts: 22ms, application-code: 1064ms)
 GET /login?verified=true 200 in 1120ms (next.js: 144ms, proxy.ts: 16ms, application-code: 961ms)
 GET /login 200 in 1140ms (next.js: 56ms, proxy.ts: 18ms, application-code: 1066ms)
 GET /login?verified=true 200 in 1138ms (next.js: 147ms, proxy.ts: 21ms, application-code: 969ms)
 GET /login 200 in 1130ms (next.js: 46ms, proxy.ts: 19ms, application-code: 1065ms)
 GET /login?verified=true 200 in 1121ms (next.js: 130ms, proxy.ts: 15ms, application-code: 976ms)
 GET /login 200 in 1122ms (next.js: 51ms, proxy.ts: 25ms, application-code: 1047ms)
 GET /login?verified=true 200 in 1106ms (next.js: 119ms, proxy.ts: 18ms, application-code: 969ms)
 GET /login 200 in 1097ms (next.js: 56ms, proxy.ts: 25ms, application-code: 1016ms)
 GET /login?verified=true 200 in 1081ms (next.js: 149ms, proxy.ts: 23ms, application-code: 908ms)
 GET /login 200 in 1095ms (next.js: 54ms, proxy.ts: 20ms, application-code: 1021ms)
 GET /login?verified=true 200 in 1085ms (next.js: 130ms, proxy.ts: 21ms, application-code: 934ms)
 GET /login 200 in 1058ms (next.js: 43ms, proxy.ts: 25ms, application-code: 991ms)
 GET /login?verified=true 200 in 1048ms (next.js: 133ms, proxy.ts: 17ms, application-code: 898ms)
 GET /login 200 in 1021ms (next.js: 40ms, proxy.ts: 18ms, application-code: 964ms)
 GET /login?verified=true 200 in 1021ms (next.js: 116ms, proxy.ts: 18ms, application-code: 887ms)
 GET /login 200 in 931ms (next.js: 39ms, proxy.ts: 18ms, application-code: 875ms)
 GET /login?verified=true 200 in 1019ms (next.js: 113ms, proxy.ts: 13ms, application-code: 893ms)
 GET /login 200 in 964ms (next.js: 82ms, proxy.ts: 21ms, application-code: 861ms)
 GET /login?verified=true 200 in 1017ms (next.js: 119ms, proxy.ts: 20ms, application-code: 879ms)
 GET /login?verified=true 200 in 1093ms (next.js: 40ms, proxy.ts: 20ms, application-code: 1034ms)
 GET /login 200 in 1142ms (next.js: 163ms, proxy.ts: 18ms, application-code: 961ms)
 GET /login?verified=true 200 in 889ms (next.js: 40ms, proxy.ts: 22ms, application-code: 827ms)
 GET /login 200 in 868ms (next.js: 108ms, proxy.ts: 15ms, application-code: 746ms)
 GET /login?verified=true 200 in 663ms (next.js: 51ms, proxy.ts: 26ms, application-code: 586ms)
 GET /login 200 in 636ms (next.js: 138ms, proxy.ts: 17ms, application-code: 481ms)
 GET /login?verified=true 200 in 388ms (next.js: 45ms, proxy.ts: 19ms, application-code: 324ms)
 GET /login 200 in 369ms (next.js: 149ms, proxy.ts: 13ms, application-code: 207ms)
 GET /login 200 in 1067ms (next.js: 50ms, proxy.ts: 14ms, application-code: 1003ms)
 GET /login?verified=true 200 in 1132ms (next.js: 207ms, proxy.ts: 14ms, application-code: 911ms)
 GET /login 200 in 1110ms (next.js: 76ms, proxy.ts: 17ms, application-code: 1017ms)
 GET /login?verified=true 200 in 1101ms (next.js: 142ms, proxy.ts: 47ms, application-code: 912ms)
 GET /login 200 in 1049ms (next.js: 40ms, proxy.ts: 20ms, application-code: 989ms)
 GET /login?verified=true 200 in 1039ms (next.js: 125ms, proxy.ts: 15ms, application-code: 899ms)
 GET /login 200 in 998ms (next.js: 46ms, proxy.ts: 22ms, application-code: 930ms)
 GET /login?verified=true 200 in 1014ms (next.js: 121ms, proxy.ts: 17ms, application-code: 876ms)
 GET /login 200 in 968ms (next.js: 54ms, proxy.ts: 19ms, application-code: 895ms)
 GET /login?verified=true 200 in 960ms (next.js: 154ms, proxy.ts: 18ms, application-code: 787ms)
